type,country,date_added,release_year,rating,duration,listed_in,Cluster
0,736,"September 15, 2021",2021,9,113,284,1
1,251,"September 15, 2021",2015,12,1,412,0
1,736,"September 15, 2021",2021,11,1,386,0
0,736,"September 14, 2021",2021,13,13,121,2
1,506,"September 14, 2021",2021,11,5,100,0
0,368,"September 14, 2021",2018,11,182,326,2
1,736,"September 14, 2021",2021,12,2,446,0
0,736,"September 14, 2021",2021,10,106,121,2
1,319,"September 14, 2021",2013,9,1,80,0
0,736,"September 11, 2021",2021,14,48,125,2
0,736,"September 11, 2021",2020,9,145,200,1
0,736,"September 11, 2021",2021,9,145,200,1
0,736,"September 10, 2021",2021,14,93,121,2
0,603,"September 10, 2021",2021,8,106,0,1
1,603,"September 10, 2021",2021,9,6,260,0
1,736,"September 10, 2021",2021,11,1,446,0
0,368,"September 10, 2021",2020,11,147,22,2
1,736,"September 10, 2021",2021,14,1,86,0
0,736,"September 10, 2021",2021,11,87,375,2
1,736,"September 10, 2021",2019,13,2,423,0
0,736,"September 9, 2021",2021,7,96,289,1
1,736,"September 9, 2021",2017,14,4,422,0
0,469,"September 9, 2021",2019,11,95,467,2
0,162,"September 9, 2021",2021,9,92,281,1
1,38,"September 8, 2021",2021,11,2,414,0
0,736,"September 8, 2021",2021,11,91,329,2
0,589,"September 8, 2021",2018,6,90,125,1
1,718,"September 8, 2021",2021,11,3,446,0
0,603,"September 7, 2021",2018,11,97,288,2
1,603,"September 7, 2021",2021,14,2,435,0
1,506,"September 7, 2021",2021,13,1,110,0
1,206,"September 7, 2021",2021,11,1,488,0
1,736,"September 7, 2021",2019,14,2,422,0
0,603,"September 7, 2021",2021,11,80,289,2
1,736,"September 6, 2021",2021,9,1,300,0
0,736,"September 6, 2021",2020,11,117,332,2
1,435,"September 6, 2021",2016,13,2,423,0
0,251,"September 5, 2021",2017,9,128,22,1
1,603,"September 5, 2021",2021,10,5,433,0
0,603,"September 4, 2021",2018,3,90,138,1
1,15,"September 3, 2021",2021,10,1,438,0
1,444,"September 3, 2021",2021,11,5,241,0
1,736,"September 3, 2021",2021,11,1,295,0
1,705,"September 3, 2021",2021,13,1,422,0
0,736,"September 3, 2021",2021,7,119,309,1
0,736,"September 2, 2021",2021,12,110,230,2
0,251,"September 2, 2021",1994,9,143,332,4
0,510,"September 2, 2021",2009,6,119,337,4
0,251,"September 2, 2021",2015,12,114,199,2
0,589,"September 2, 2021",2021,7,94,274,1
0,251,"September 2, 2021",2017,9,106,332,1
0,736,"September 2, 2021",2020,11,99,329,2
1,15,"September 2, 2021",2021,14,1,433,0
1,736,"September 2, 2021",2019,9,1,393,0
0,511,"September 2, 2021",2003,8,118,513,4
1,736,"September 2, 2021",2012,14,1,422,0
1,435,"September 2, 2021",2013,14,3,423,0
1,603,"September 2, 2021",2021,11,1,255,0
0,251,"September 2, 2021",2020,9,115,329,1
0,621,"September 1, 2021",2004,6,95,125,4
0,736,"September 1, 2021",2017,7,115,332,1
0,228,"September 1, 2021",2005,7,108,309,4
0,736,"September 1, 2021",2021,13,63,148,2
0,603,"September 1, 2021",1982,8,117,16,3
1,736,"September 1, 2021",2021,11,1,404,0
0,431,"September 1, 2021",2015,8,121,60,1
0,690,"September 1, 2021",1994,7,142,36,4
0,683,"September 1, 2021",1993,8,113,0,4
0,684,"September 1, 2021",2003,8,154,337,4
0,30,"September 1, 2021",2001,6,95,20,4
0,603,"September 1, 2021",2010,7,108,337,1
0,603,"September 1, 2021",1989,8,120,164,4
0,14,"September 1, 2021",2014,11,100,332,2
0,720,"September 1, 2021",2015,8,82,0,1
0,228,"September 1, 2021",2007,7,124,309,4
0,603,"September 1, 2021",2011,7,114,60,1
0,603,"September 1, 2021",1990,8,104,186,4
0,603,"September 1, 2021",1991,8,94,192,4
0,603,"September 1, 2021",1994,8,94,227,4
1,736,"September 1, 2021",2021,12,1,446,0
1,736,"September 1, 2021",2020,9,1,512,0
0,603,"September 1, 2021",1998,8,93,20,4
0,603,"September 1, 2021",1999,8,97,513,4
0,108,"September 1, 2021",2005,9,109,52,4
0,603,"September 1, 2021",2016,11,88,185,2
1,407,"September 1, 2021",2016,13,2,422,0
1,319,"September 1, 2021",2015,11,3,85,0
0,589,"September 1, 2021",1986,6,101,10,3
0,603,"September 1, 2021",2010,6,105,203,1
0,58,"September 1, 2021",2018,9,102,467,1
0,603,"September 1, 2021",2003,7,101,230,4
0,239,"September 1, 2021",2010,11,103,200,2
1,603,"September 1, 2021",1992,12,4,487,0
0,603,"September 1, 2021",1996,7,106,193,4
0,635,"September 1, 2021",2017,7,118,309,1
0,603,"September 1, 2021",2003,8,86,230,4
0,603,"September 1, 2021",1999,7,121,20,4
1,736,"September 1, 2021",2019,11,1,241,0
0,316,"September 1, 2021",1984,8,229,174,3
0,621,"September 1, 2021",2008,6,76,125,4
0,603,"September 1, 2021",2001,6,95,9,4
0,603,"September 1, 2021",2006,7,98,36,4
0,603,"September 1, 2021",1997,8,89,288,4
0,603,"September 1, 2021",2017,7,120,310,1
0,656,"September 1, 2021",2003,7,110,227,4
0,603,"September 1, 2021",2015,7,83,285,1
0,603,"September 1, 2021",2003,8,121,36,4
0,603,"September 1, 2021",1980,8,105,337,3
0,603,"September 1, 2021",1986,7,94,20,3
0,589,"September 1, 2021",1961,9,156,14,3
0,603,"September 1, 2021",2014,8,112,20,1
0,603,"September 1, 2021",1996,7,95,230,4
0,736,"September 1, 2021",2000,7,107,230,4
1,736,"September 1, 2021",2021,9,1,291,0
0,603,"September 1, 2021",2008,7,114,185,4
0,603,"August 31, 2021",1993,8,129,14,4
1,603,"August 31, 2021",2021,12,1,446,0
0,736,"August 31, 2021",2021,11,86,289,2
1,736,"August 29, 2021",2021,9,1,393,0
1,736,"August 29, 2021",2021,10,1,409,0
0,162,"August 28, 2021",2008,11,97,217,2
1,736,"August 28, 2021",2020,13,2,433,0
0,251,"August 28, 2021",2021,9,125,326,1
0,520,"August 28, 2021",2017,8,107,318,1
0,251,"August 27, 2021",2008,9,127,25,4
1,1,"August 27, 2021",2021,11,1,412,0
1,736,"August 27, 2021",2002,11,1,400,0
0,251,"August 27, 2021",2008,9,128,200,4
0,736,"August 27, 2021",2021,9,92,230,1
1,736,"August 27, 2021",2021,14,1,433,0
1,368,"August 27, 2021",2021,11,1,244,0
0,251,"August 27, 2021",2006,9,135,200,4
0,251,"August 27, 2021",2004,9,124,46,4
0,251,"August 27, 2021",2003,9,136,332,4
0,251,"August 27, 2021",2005,11,165,219,2
0,251,"August 27, 2021",2016,11,124,217,2
0,251,"August 27, 2021",2012,11,136,217,2
0,251,"August 27, 2021",2001,9,150,221,4
0,251,"August 27, 2021",2010,11,112,319,2
0,251,"August 27, 2021",2008,9,119,53,4
0,251,"August 27, 2021",2010,9,133,328,1
0,251,"August 27, 2021",2013,9,142,328,1
0,251,"August 27, 2021",2011,11,93,350,2
0,251,"August 27, 2021",2014,11,113,350,2
1,279,"August 27, 2021",2016,11,2,412,0
1,736,"August 27, 2021",2021,12,3,292,0
0,736,"August 27, 2021",2021,8,124,52,1
0,251,"August 27, 2021",2007,11,116,39,2
0,251,"August 27, 2021",2011,9,106,199,1
0,251,"August 27, 2021",2011,9,145,200,1
1,736,"August 27, 2021",2021,9,1,455,0
1,319,"August 26, 2021",2021,9,1,80,0
1,603,"August 26, 2021",2021,12,4,433,0
0,736,"August 25, 2021",2021,9,93,274,1
1,736,"August 25, 2021",2021,11,1,264,0
1,736,"August 25, 2021",2021,11,1,235,0
1,736,"August 25, 2021",2021,9,1,385,0
1,736,"August 25, 2021",2021,11,1,414,0
1,736,"August 25, 2021",2021,11,1,410,0
0,603,"August 25, 2021",2020,11,95,322,2
0,718,"August 25, 2021",2014,8,108,0,1
0,603,"August 25, 2021",2020,11,90,345,2
0,736,"August 25, 2021",2021,11,86,289,2
0,603,"August 25, 2021",2021,6,92,138,1
1,603,"August 25, 2021",2019,10,3,446,0
0,506,"August 24, 2021",2021,11,82,288,2
1,736,"August 24, 2021",2021,13,1,433,0
0,736,"August 24, 2021",2021,12,70,287,2
0,736,"August 23, 2021",2021,9,122,353,1
0,736,"August 23, 2021",2021,9,122,353,1
0,736,"August 23, 2021",2021,9,122,353,1
0,736,"August 23, 2021",2021,9,122,353,1
0,736,"August 23, 2021",2021,11,84,1,2
1,603,"August 21, 2021",2021,9,3,500,0
1,736,"August 20, 2021",2021,11,1,409,0
1,736,"August 20, 2021",2021,11,1,399,0
0,736,"August 20, 2021",2018,9,96,332,1
1,736,"August 20, 2021",2021,12,1,292,0
0,736,"August 20, 2021",2021,11,115,329,2
0,603,"August 20, 2021",2021,8,110,36,1
1,736,"August 20, 2021",2021,11,1,488,0
0,736,"August 20, 2021",2021,14,88,131,2
0,736,"August 19, 2021",2020,12,102,329,2
0,603,"August 19, 2021",2011,7,91,322,1
0,736,"August 18, 2021",2021,11,105,375,2
0,251,"August 18, 2021",1995,9,135,329,4
1,603,"August 18, 2021",2021,13,5,422,0
0,736,"August 18, 2021",2021,11,86,281,2
0,736,"August 18, 2021",2020,9,140,326,1
0,736,"August 18, 2021",2015,9,133,329,1
0,736,"August 18, 2021",2020,11,92,200,2
0,262,"August 18, 2021",2018,12,82,200,2
1,736,"August 18, 2021",2020,11,1,244,0
0,736,"August 18, 2021",2021,9,97,220,1
0,736,"August 18, 2021",2021,11,78,287,2
1,603,"August 16, 2021",2016,13,2,422,0
0,603,"August 16, 2021",2014,8,94,211,1
1,319,"August 15, 2021",2018,9,1,81,0
1,251,"August 15, 2021",2020,11,1,292,0
0,364,"August 15, 2021",1993,8,121,175,4
0,736,"August 15, 2021",2020,11,97,326,2
1,302,"August 15, 2021",2015,14,2,422,0
0,304,"August 13, 2021",2021,11,110,0,2
1,603,"August 13, 2021",2021,11,1,499,0
1,603,"August 13, 2021",2021,14,5,422,0
1,162,"August 13, 2021",2021,11,1,244,0
1,603,"August 13, 2021",2021,11,7,488,0
1,2,"August 13, 2021",2021,11,1,241,0
1,444,"August 13, 2021",2021,11,2,391,0
1,323,"August 12, 2021",2021,9,1,417,0
0,121,"August 12, 2021",2021,11,64,470,2
0,686,"August 12, 2021",2021,12,59,2,2
1,603,"August 11, 2021",2021,12,1,446,0
0,368,"August 11, 2021",2016,9,101,217,1
0,342,"August 11, 2021",2020,11,127,319,2
0,43,"August 11, 2021",2021,7,90,281,1
0,589,"August 11, 2021",2021,9,114,230,1
0,478,"August 11, 2021",2013,8,108,326,1
1,603,"August 10, 2021",2021,13,2,422,0
1,736,"August 10, 2021",2021,9,1,393,0
1,121,"August 10, 2021",2018,11,1,241,0
1,435,"August 10, 2021",2019,9,1,394,0
0,603,"August 10, 2021",2021,11,70,289,2
1,319,"August 9, 2021",2021,9,1,80,0
0,506,"August 8, 2021",2012,7,98,199,1
0,426,"August 8, 2021",2021,11,86,220,2
0,736,"August 7, 2021",2020,12,139,366,2
0,603,"August 7, 2021",2021,7,111,20,1
1,301,"August 6, 2021",2021,11,1,481,0
1,251,"August 6, 2021",2021,11,1,512,0
0,368,"August 6, 2021",2020,11,115,200,2
0,162,"August 6, 2021",2021,9,102,347,1
0,86,"August 6, 2021",2021,6,100,148,1
0,251,"August 5, 2021",2013,9,135,25,1
0,45,"August 5, 2021",2013,11,69,281,2
0,2,"August 5, 2021",1985,11,95,190,3
0,506,"August 5, 2021",2021,9,97,274,1
0,9,"August 5, 2021",1993,11,124,176,4
0,368,"August 4, 2021",2016,12,118,326,2
0,603,"August 4, 2021",2021,11,115,345,2
0,603,"August 4, 2021",2012,11,115,442,2
1,736,"August 4, 2021",2021,12,3,446,0
1,603,"August 4, 2021",2021,11,1,234,0
1,342,"August 4, 2021",2021,11,2,400,0
1,603,"August 4, 2021",2021,11,1,446,0
1,483,"August 3, 2021",2009,9,1,394,0
0,603,"August 3, 2021",1995,8,104,322,4
0,699,"August 3, 2021",2010,11,106,326,2
1,483,"August 3, 2021",2011,9,1,393,0
0,603,"August 3, 2021",2021,7,102,285,1
0,736,"August 3, 2021",2021,11,97,281,2
1,483,"August 3, 2021",2005,9,1,393,0
1,736,"August 3, 2021",2021,12,1,291,0
1,483,"August 3, 2021",2013,9,1,393,0
1,483,"August 3, 2021",2008,11,1,393,0
1,603,"August 1, 2021",2012,9,7,487,0
1,302,"August 1, 2021",2020,14,3,422,0
0,603,"August 1, 2021",1992,6,87,125,4
0,603,"August 1, 2021",1993,6,88,125,4
0,718,"August 1, 2021",2007,7,114,60,4
0,53,"August 1, 2021",2016,8,90,0,1
0,621,"August 1, 2021",2002,7,142,309,4
0,621,"August 1, 2021",2009,6,90,133,4
1,736,"August 1, 2021",2020,11,1,84,0
0,690,"August 1, 2021",1999,8,105,47,4
0,603,"August 1, 2021",1986,7,103,163,3
0,603,"August 1, 2021",2019,7,116,337,1
0,603,"August 1, 2021",2006,8,113,344,4
1,736,"August 1, 2021",2010,9,5,506,0
0,621,"August 1, 2021",2007,8,99,230,4
1,319,"August 1, 2021",2014,9,6,80,0
0,736,"August 1, 2021",2021,9,96,319,1
0,718,"August 1, 2021",2010,7,148,62,4
0,603,"August 1, 2021",1999,8,189,318,4
0,603,"August 1, 2021",1995,7,97,185,4
0,603,"August 1, 2021",1991,7,102,309,4
0,603,"August 1, 2021",1994,6,99,127,4
0,621,"August 1, 2021",2015,6,85,125,1
0,603,"August 1, 2021",2008,8,112,20,4
0,468,"August 1, 2021",2009,6,91,133,4
0,589,"August 1, 2021",2019,7,91,185,1
0,603,"August 1, 2021",2003,7,141,343,4
0,603,"August 1, 2021",2000,7,130,41,4
0,656,"August 1, 2021",2004,8,98,21,4
0,632,"August 1, 2021",2016,8,105,197,1
0,603,"August 1, 2021",2013,8,101,345,1
0,603,"August 1, 2021",1991,8,105,20,4
0,603,"August 1, 2021",2011,8,118,344,1
0,643,"August 1, 2021",2010,7,97,0,1
0,455,"August 1, 2021",2004,8,102,325,4
0,603,"August 1, 2021",1995,7,114,513,4
0,603,"August 1, 2021",2000,8,111,470,4
0,603,"August 1, 2021",2010,7,125,230,1
1,603,"July 31, 2021",2021,9,3,502,0
0,736,"July 31, 2021",2018,9,76,326,1
0,736,"July 31, 2021",2021,8,118,57,1
1,736,"July 30, 2021",2021,14,1,433,0
0,0,"July 30, 2021",2014,9,103,319,1
1,506,"July 30, 2021",2021,9,3,104,0
0,736,"July 30, 2021",2020,9,114,281,1
1,736,"July 30, 2021",2009,9,1,385,0
1,736,"July 30, 2021",2021,9,1,96,0
1,603,"July 30, 2021",2021,11,2,483,0
0,736,"July 30, 2021",2009,9,95,319,1
0,736,"July 30, 2021",2021,11,138,52,2
0,736,"July 30, 2021",2021,11,112,25,2
0,368,"July 29, 2021",2013,12,94,220,2
0,736,"July 29, 2021",2021,9,102,230,1
1,736,"July 29, 2021",2021,14,1,75,0
0,394,"July 28, 2021",2021,11,92,52,2
0,603,"July 28, 2021",2019,9,81,274,1
1,736,"July 28, 2021",2021,11,1,446,0
1,603,"July 28, 2021",2021,9,7,257,0
1,736,"July 28, 2021",2021,11,1,241,0
1,603,"July 27, 2021",2021,9,3,506,0
0,251,"July 27, 2021",2012,11,143,52,2
0,736,"July 27, 2021",2021,9,86,513,1
1,212,"July 27, 2021",2021,11,3,243,0
1,621,"July 27, 2021",2021,13,4,422,0
0,736,"July 27, 2021",2021,9,132,200,1
1,736,"July 27, 2021",2021,11,1,472,0
0,185,"July 27, 2021",2019,11,117,332,2
1,603,"July 26, 2021",2019,11,10,156,0
1,86,"July 26, 2021",2020,11,4,405,0
0,603,"July 24, 2021",2012,8,165,36,1
0,15,"July 23, 2021",2021,6,91,150,1
0,736,"July 23, 2021",2021,11,97,319,2
0,736,"July 23, 2021",2021,11,97,217,2
0,736,"July 23, 2021",2021,11,123,46,2
1,736,"July 23, 2021",2021,11,1,393,0
0,736,"July 23, 2021",2021,11,94,353,2
1,736,"July 23, 2021",2021,12,1,486,0
1,736,"July 23, 2021",2021,12,1,90,0
1,444,"July 23, 2021",2021,11,2,398,0
0,506,"July 23, 2021",2021,11,111,337,2
1,603,"July 23, 2021",2021,11,2,291,0
0,736,"July 22, 2021",2021,11,85,274,2
0,736,"July 22, 2021",2015,13,65,121,2
0,736,"July 22, 2021",2013,14,64,121,2
0,736,"July 22, 2021",2009,14,68,121,2
0,736,"July 22, 2021",2011,14,67,121,2
0,736,"July 22, 2021",2010,14,66,121,2
0,251,"July 22, 2021",2013,14,64,121,2
0,736,"July 22, 2021",2013,14,64,121,2
0,736,"July 22, 2021",2013,14,65,121,2
0,736,"July 22, 2021",2013,14,64,121,2
0,736,"July 22, 2021",2012,14,68,121,2
0,251,"July 22, 2021",2009,14,68,121,2
0,736,"July 22, 2021",2013,14,64,121,2
0,736,"July 22, 2021",2015,14,62,121,2
0,736,"July 22, 2021",2019,13,63,121,2
0,736,"July 22, 2021",2010,14,69,150,2
0,736,"July 22, 2021",2012,14,70,121,2
0,736,"July 22, 2021",2014,14,63,121,2
0,736,"July 22, 2021",2011,14,68,121,2
0,736,"July 22, 2021",2011,14,74,121,2
0,736,"July 22, 2021",2012,14,68,121,2
1,603,"July 22, 2021",2019,9,5,498,0
0,363,"July 22, 2021",2021,11,99,309,2
0,736,"July 22, 2021",2019,9,90,217,1
0,736,"July 22, 2021",2021,10,87,67,2
0,368,"July 21, 2021",2020,9,105,332,1
1,736,"July 21, 2021",2021,9,1,104,0
1,736,"July 21, 2021",2021,11,1,386,0
0,736,"July 21, 2021",2021,14,106,121,2
0,603,"July 20, 2021",2020,11,102,199,2
1,2,"July 20, 2021",2020,11,1,151,0
1,736,"July 20, 2021",2019,11,1,240,0
0,412,"July 19, 2021",2021,9,91,329,1
0,603,"July 17, 2021",2021,8,88,0,1
0,736,"July 16, 2021",2020,12,107,329,2
0,488,"July 16, 2021",2021,11,101,332,2
1,603,"July 16, 2021",2021,11,3,300,0
0,736,"July 16, 2021",2021,8,114,354,1
1,621,"July 16, 2021",2021,14,1,433,0
0,736,"July 16, 2021",1999,8,123,217,4
1,736,"July 16, 2021",2021,9,1,291,0
0,603,"July 16, 2021",2017,8,94,325,1
0,603,"July 16, 2021",2017,7,105,309,1
0,603,"July 16, 2021",2011,7,117,337,1
0,603,"July 16, 2021",2012,7,115,337,1
0,603,"July 16, 2021",2010,7,124,337,1
0,603,"July 16, 2021",2009,7,131,337,4
0,603,"July 16, 2021",2008,7,122,40,4
0,272,"July 15, 2021",2021,12,113,200,2
1,319,"July 15, 2021",2021,11,2,80,0
0,736,"July 15, 2021",1983,11,91,186,3
0,736,"July 15, 2021",2021,11,100,283,2
1,435,"July 15, 2021",2019,9,1,393,0
0,153,"July 15, 2021",2021,12,93,284,2
0,736,"July 15, 2021",2021,9,90,329,1
1,603,"July 15, 2021",2021,9,2,492,0
0,621,"July 15, 2021",2007,6,86,134,4
0,736,"July 15, 2021",2019,9,100,199,1
0,603,"July 15, 2021",2019,11,96,274,2
0,302,"July 14, 2021",2021,11,95,350,2
0,736,"July 14, 2021",2021,8,115,20,1
1,736,"July 14, 2021",2021,11,1,234,0
1,736,"July 14, 2021",2021,11,1,446,0
0,736,"July 14, 2021",2021,11,100,281,2
0,736,"July 14, 2021",2021,11,102,200,2
0,621,"July 13, 2021",2019,11,87,318,2
0,736,"July 13, 2021",2021,9,39,442,1
0,736,"July 13, 2021",2021,12,110,141,2
1,603,"July 13, 2021",2021,13,1,422,0
0,603,"July 12, 2021",2020,11,93,289,2
0,714,"July 10, 2021",2015,8,96,20,1
0,736,"July 10, 2021",2019,11,93,470,2
0,736,"July 10, 2021",2016,11,93,196,2
1,603,"July 9, 2021",2021,9,4,492,0
1,212,"July 9, 2021",2021,11,2,415,0
0,736,"July 9, 2021",2021,8,111,345,1
0,736,"July 9, 2021",2020,9,105,200,1
0,736,"July 9, 2021",2021,11,101,39,2
1,736,"July 9, 2021",2021,11,1,291,0
0,736,"July 9, 2021",2021,11,102,329,2
0,736,"July 9, 2021",2021,10,46,470,2
0,736,"July 9, 2021",2021,9,89,513,1
0,240,"July 9, 2021",2016,6,94,133,1
1,736,"July 9, 2021",2021,11,1,391,0
1,603,"July 9, 2021",2021,9,3,462,0
0,327,"July 8, 2021",2017,9,104,217,1
1,736,"July 8, 2021",2021,11,1,235,0
0,603,"July 8, 2021",2017,7,97,203,1
0,603,"July 8, 2021",2018,7,91,337,1
1,686,"July 8, 2021",2021,11,1,91,0
0,603,"July 8, 2021",2015,8,106,227,1
0,736,"July 7, 2021",2019,11,38,281,2
0,178,"July 7, 2021",2014,7,90,52,1
1,736,"July 7, 2021",2021,9,1,291,0
0,736,"July 7, 2021",2020,11,87,326,2
1,603,"July 7, 2021",2021,12,2,291,0
0,736,"July 7, 2021",2021,11,138,52,2
0,736,"July 7, 2021",2020,11,105,326,2
0,368,"July 7, 2021",2010,9,104,329,1
1,394,"July 7, 2021",2021,11,2,244,0
1,736,"July 7, 2021",2021,11,1,399,0
0,736,"July 7, 2021",2020,12,85,326,2
0,15,"July 7, 2021",2021,10,92,369,2
0,736,"July 7, 2021",2019,9,108,217,1
0,194,"July 6, 2021",2019,11,95,326,2
1,603,"July 6, 2021",2019,13,3,422,0
1,58,"July 6, 2021",2016,9,2,414,0
1,603,"July 6, 2021",2017,11,2,472,0
1,165,"July 6, 2021",2007,14,4,422,0
1,603,"July 6, 2021",2018,9,3,482,0
1,506,"July 6, 2021",2019,11,5,108,0
1,506,"July 6, 2021",2019,11,2,108,0
1,488,"July 6, 2021",2021,11,2,414,0
1,319,"July 6, 2021",2017,9,2,393,0
0,251,"July 6, 2021",2020,9,105,326,1
1,506,"July 6, 2021",2020,11,2,96,0
1,603,"July 6, 2021",2021,11,2,487,0
1,58,"July 6, 2021",2021,11,5,409,0
1,407,"July 6, 2021",2015,14,3,424,0
1,506,"July 6, 2021",2019,11,3,97,0
1,319,"July 6, 2021",2019,11,2,412,0
1,621,"July 6, 2021",2018,13,8,422,0
1,603,"July 6, 2021",2019,11,7,488,0
1,295,"July 6, 2021",2016,13,2,422,0
0,251,"July 6, 2021",2012,9,116,329,1
0,150,"July 6, 2021",1976,11,124,326,3
1,603,"July 6, 2021",2015,10,2,433,0
0,338,"July 6, 2021",2018,12,101,326,2
1,603,"July 6, 2021",2019,11,3,266,0
1,296,"July 6, 2021",2021,9,3,412,0
0,272,"July 6, 2021",2019,10,95,326,2
1,58,"July 6, 2021",2015,13,2,433,0
1,15,"July 6, 2021",2018,9,3,294,0
1,319,"July 6, 2021",2018,9,6,385,0
1,506,"July 6, 2021",2021,12,2,109,0
1,23,"July 6, 2021",2020,12,2,432,0
1,545,"July 6, 2021",2020,10,4,110,0
0,251,"July 6, 2021",2018,9,128,200,1
0,251,"July 6, 2021",1959,9,143,326,3
1,42,"July 6, 2021",2020,11,2,242,0
1,58,"July 6, 2021",2021,11,5,409,0
1,435,"July 6, 2021",2020,13,3,423,0
1,736,"July 6, 2021",2021,9,1,394,0
1,603,"July 4, 2021",2021,14,1,422,0
1,603,"July 3, 2021",2020,9,17,462,0
1,736,"July 2, 2021",2020,9,1,385,0
0,736,"July 2, 2021",2021,8,107,354,1
0,251,"July 2, 2021",2021,11,136,371,2
0,736,"July 2, 2021",2020,11,94,217,2
1,162,"July 2, 2021",2019,11,2,244,0
0,368,"July 2, 2021",2020,11,136,332,2
0,439,"July 2, 2021",2013,8,126,32,1
0,435,"July 2, 2021",2021,9,116,353,1
0,30,"July 2, 2021",2018,7,100,357,1
0,603,"July 1, 2021",2012,8,115,0,1
0,656,"July 1, 2021",1997,8,125,0,4
0,736,"July 1, 2021",2021,7,39,289,1
0,603,"July 1, 2021",2002,7,94,20,4
0,603,"July 1, 2021",1997,7,90,185,4
0,603,"July 1, 2021",1999,7,95,28,4
0,603,"July 1, 2021",1997,8,155,199,4
1,20,"July 1, 2021",2020,10,1,377,0
0,656,"July 1, 2021",2000,7,98,20,4
0,603,"July 1, 2021",1995,7,108,64,4
0,603,"July 1, 2021",1993,6,96,125,4
0,746,"July 1, 2021",2019,9,117,329,1
0,736,"July 1, 2021",2021,9,118,52,1
1,736,"July 1, 2021",2021,11,1,393,0
0,513,"July 1, 2021",2019,7,103,200,1
0,632,"July 1, 2021",2008,6,94,125,4
0,632,"July 1, 2021",2011,6,93,125,1
0,603,"July 1, 2021",2010,7,115,203,1
0,512,"July 1, 2021",2019,8,120,312,1
1,736,"July 1, 2021",2021,11,1,409,0
0,187,"July 1, 2021",2005,7,145,337,4
0,603,"July 1, 2021",1988,8,126,15,3
0,736,"July 1, 2021",2021,9,96,5,1
